julian,time,week,ng1,ng2,ng3,ng4,ng5,ng6,ng7,ng8,ng9
156,pm,23,0.8333333333333334,0.8333333333333334,0.76,0.8333333333333334,0.8333333333333334,0.76,0.76,0.8333333333333334,1.0
157,pm,23,0.6923076923076923,1.0,0.76,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5172413793103449,0.76,0.5714285714285714
158,pm,23,0.6296296296296297,0.6923076923076923,0.6923076923076923,0.3333333333333333,0.5714285714285714,0.5714285714285714,0.41935483870967744,0.8333333333333334,0.8333333333333334
162,pm,24,0.5714285714285714,0.4666666666666667,0.6296296296296297,0.3333333333333333,0.76,0.4666666666666667,0.76,0.6296296296296297,0.5714285714285714
163,pm,24,0.4666666666666667,0.41935483870967744,0.6923076923076923,0.6923076923076923,0.8333333333333334,0.76,0.3333333333333333,0.6296296296296297,0.41935483870967744
164,pm,24,0.41935483870967744,0.76,0.4666666666666667,0.5714285714285714,0.6296296296296297,0.41935483870967744,0.41935483870967744,0.5172413793103449,0.5714285714285714
170,pm,25,0.6296296296296297,0.6923076923076923,1.0,0.375,0.375,0.5714285714285714,0.5172413793103449,0.5172413793103449,0.76
171,pm,25,0.76,0.6296296296296297,0.76,0.5714285714285714,0.8333333333333334,0.6923076923076923,0.8333333333333334,0.8333333333333334,1.0
172,pm,25,0.6296296296296297,0.76,0.8333333333333334,0.4666666666666667,0.8333333333333334,0.8333333333333334,0.5714285714285714,0.6923076923076923,1.0
177,pm,26,0.5714285714285714,0.76,0.6296296296296297,0.76,1.0,0.8333333333333334,0.76,0.6923076923076923,0.5714285714285714
178,pm,26,0.8333333333333334,0.76,0.76,0.6923076923076923,0.5714285714285714,0.8333333333333334,0.6296296296296297,0.41935483870967744,0.76
179,pm,26,0.76,0.5714285714285714,0.5714285714285714,1.0,0.76,0.76,1.0,0.76,0.76
183,pm,27,0.6923076923076923,0.8333333333333334,1.0,0.375,0.6296296296296297,0.5714285714285714,0.5172413793103449,0.8333333333333334,0.76
191,pm,28,0.6296296296296297,0.6296296296296297,0.5714285714285714,0.5714285714285714,1.0,0.8333333333333334,0.6923076923076923,0.6923076923076923,0.6296296296296297
192,pm,28,0.76,0.76,0.76,0.76,0.76,0.76,0.5714285714285714,1.0,0.5714285714285714
193,pm,28,0.6923076923076923,0.76,1.0,0.3333333333333333,0.375,0.5172413793103449,0.5714285714285714,0.6296296296296297,0.8333333333333334
201,pm,29,0.6296296296296297,0.6296296296296297,0.8333333333333334,1.0,1.0,0.76,0.6296296296296297,0.6296296296296297,0.8333333333333334
202,pm,29,0.8333333333333334,0.76,0.76,0.8333333333333334,0.76,0.76,0.8333333333333334,0.76,0.76
202,pm,29,0.8333333333333334,0.76,0.76,0.8333333333333334,0.76,0.76,0.8333333333333334,0.76,0.76
204,pm,30,0.6296296296296297,0.76,0.6296296296296297,0.8333333333333334,1.0,0.8333333333333334,0.4666666666666667,0.5714285714285714,0.4666666666666667
205,pm,30,0.76,0.8333333333333334,0.76,1.0,0.6296296296296297,1.0,1.0,0.6296296296296297,1.0
206,pm,30,0.76,1.0,1.0,1.0,0.76,0.76,1.0,0.76,0.76
212,pm,31,0.5714285714285714,0.5714285714285714,0.76,1.0,1.0,0.76,0.76,0.76,1.0
213,pm,31,0.76,0.76,1.0,0.76,0.76,1.0,1.0,1.0,0.76
214,pm,31,0.76,1.0,0.76,0.76,1.0,0.76,0.8333333333333334,0.6296296296296297,0.8333333333333334
218,pm,32,0.76,0.76,1.0,1.0,1.0,0.76,0.76,0.76,1.0
219,pm,32,0.6296296296296297,0.5172413793103449,0.5172413793103449,0.6923076923076923,0.8333333333333334,0.8333333333333334,0.6296296296296297,1.0,0.8333333333333334
220,pm,32,0.5714285714285714,0.5714285714285714,0.5714285714285714,1.0,1.0,1.0,1.0,1.0,1.0
234,pm,34,1.0,1.0,1.0,0.76,0.76,0.76,1.0,1.0,1.0
235,pm,34,1.0,1.0,0.76,1.0,1.0,0.76,1.0,1.0,0.76
236,pm,34,1.0,0.76,0.76,1.0,0.76,0.76,1.0,0.76,0.76
157,am,23,1.0,0.5714285714285714,0.76,0.76,0.76,1.0,0.5714285714285714,1.0,0.76
158,am,23,0.76,0.76,1.0,0.5714285714285714,0.5714285714285714,0.41935483870967744,0.5714285714285714,0.5714285714285714,0.41935483870967744
162,am,24,0.6296296296296297,0.6296296296296297,0.6296296296296297,0.5714285714285714,0.5714285714285714,0.76,1.0,0.6923076923076923,0.41935483870967744
163,am,24,0.6923076923076923,0.5172413793103449,0.6296296296296297,0.76,0.8333333333333334,1.0,0.76,0.6296296296296297,0.6296296296296297
164,am,24,0.6296296296296297,0.41935483870967744,0.375,0.6296296296296297,0.41935483870967744,0.76,0.76,0.5172413793103449,0.6296296296296297
170,am,25,0.76,0.76,0.76,0.76,0.76,0.76,0.375,0.4666666666666667,0.4666666666666667
171,am,25,0.6296296296296297,0.6923076923076923,0.6296296296296297,0.5714285714285714,0.8333333333333334,0.5714285714285714,0.375,0.6923076923076923,0.41935483870967744
172,am,25,1.0,0.6296296296296297,0.76,0.6296296296296297,1.0,0.6923076923076923,0.76,0.8333333333333334,0.8333333333333334
177,am,26,1.0,0.76,0.76,0.6296296296296297,0.8333333333333334,0.8333333333333334,1.0,0.76,0.76
178,am,26,0.5172413793103449,0.41935483870967744,0.76,0.4666666666666667,0.375,0.6923076923076923,0.5714285714285714,1.0,0.5714285714285714
179,am,26,0.76,0.76,1.0,0.76,0.76,1.0,0.76,0.76,1.0
183,am,27,0.76,0.5714285714285714,0.76,0.5714285714285714,0.76,0.5714285714285714,0.76,0.5714285714285714,0.76
191,am,28,0.76,0.6296296296296297,1.0,1.0,0.8333333333333334,0.76,0.6923076923076923,0.5714285714285714,0.76
192,am,28,0.5714285714285714,0.76,0.76,0.6923076923076923,0.4666666666666667,0.4666666666666667,0.5714285714285714,0.76,0.76
193,am,28,0.76,0.6923076923076923,0.76,0.76,1.0,0.76,0.76,1.0,0.76
201,am,29,0.5714285714285714,0.76,0.76,0.5714285714285714,0.76,0.76,0.8333333333333334,0.76,0.76
202,am,29,0.5714285714285714,0.76,1.0,0.76,1.0,0.76,0.76,1.0,0.76
202,am,29,0.5714285714285714,0.76,1.0,0.76,1.0,0.76,0.76,1.0,0.76
204,am,30,0.5714285714285714,0.5714285714285714,0.41935483870967744,0.41935483870967744,0.41935483870967744,0.5714285714285714,1.0,1.0,0.1891891891891892
205,am,30,0.8333333333333334,0.76,0.76,1.0,0.76,0.76,0.76,1.0,0.5714285714285714
206,am,30,1.0,1.0,0.76,1.0,1.0,0.76,1.0,1.0,0.76
212,am,31,1.0,1.0,0.5714285714285714,0.76,0.76,0.76,0.76,0.76,0.76
213,am,31,0.76,0.5714285714285714,0.76,0.76,0.5714285714285714,0.76,0.8333333333333334,0.6296296296296297,0.8333333333333334
214,am,31,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.76,0.76,0.76,0.76,0.76,0.76
218,am,32,1.0,0.76,1.0,0.76,0.6923076923076923,0.76,1.0,0.76,1.0
219,am,32,0.76,1.0,0.76,0.76,1.0,0.76,0.6923076923076923,0.76,0.6923076923076923
220,am,32,0.76,1.0,1.0,0.76,1.0,1.0,0.76,1.0,1.0
234,am,34,0.76,1.0,1.0,0.76,1.0,1.0,0.76,1.0,1.0
235,am,34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
236,am,34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
