transect,time,week,julian,row,counts
oakMargin,pm,23,156,79,f f f f f f T f T f 
oakMargin,pm,23,156,81,f f f f T f f T f f 
oakMargin,pm,23,156,83,f f f f T f f f f f 
control,pm,23,156,48,f f T f f f f f f T 
control,pm,23,156,50,f f f f f f T T f f 
control,pm,23,156,52,f f f f T f f f f f 
oakMargin,pm,23,157,79,f f f f T f T f f f 
oakMargin,pm,23,157,81,f f f T T f f f T f 
oakMargin,pm,23,157,83,f f T f f f f f f f 
oakMargin,am,23,157,79,f T f f f f T f f f 
oakMargin,am,23,157,81,f f f f f f T f f f 
oakMargin,am,23,157,83,f f f f f f f f f f 
control,pm,23,157,48,f f T T f f T T f f 
control,pm,23,157,50,f f f T f f T f f f 
control,pm,23,157,52,f f f T f T f f f T 
control,am,23,157,48,f f T f f f f T f f 
control,am,23,157,50,f f f f f f f f f f 
control,am,23,157,52,f f f f f f f T f f 
oakMargin,pm,23,158,79,f T T f f f T T T f 
oakMargin,pm,23,158,81,T f f T f f f f f f 
oakMargin,pm,23,158,83,f T f f f f f f T T 
oakMargin,am,23,158,79,f T f f f f T f f T 
oakMargin,am,23,158,81,T T f f f f f f f f 
oakMargin,am,23,158,83,f f f f f f f f f f 
control,pm,23,158,48,T T T f f T T T f T 
control,pm,23,158,50,f f T T f T f f f f 
control,pm,23,158,52,f T f f f f f T T f 
control,am,23,158,48,f T f f f f f T f f 
control,am,23,158,50,f f f T f T f f f f 
control,am,23,158,52,f T f f f f T f f T 
oakMargin,pm,24,162,80,T f f f T T T T T f 
oakMargin,pm,24,162,82,f f f f T f f f T f 
oakMargin,pm,24,162,84,f T f T T f T f f T 
oakMargin,am,24,162,80,f T T f f f f f f f 
oakMargin,am,24,162,82,f f f f f f T f f f 
oakMargin,am,24,162,84,T f f f T f f T f f 
control,pm,24,162,47,T f T f T f T f T T 
control,pm,24,162,49,f f T f f T f T f f 
control,pm,24,162,51,f f f f f T T T T T 
control,am,24,162,47,T f f T f f f T f f 
control,am,24,162,49,f f T f T f f f T f 
control,am,24,162,51,f f f f f f f f f f 
oakMargin,pm,24,163,80,T T T T f T T T T T 
oakMargin,pm,24,163,82,T f T f f f T T T T 
oakMargin,pm,24,163,84,T T f f f f f f T f 
oakMargin,am,24,163,80,f T f f T f T f T f 
oakMargin,am,24,163,82,f f f T f f T T f f 
oakMargin,am,24,163,84,T f f f T T T f f T 
control,pm,24,163,47,f f T T f T T f T T 
control,pm,24,163,49,T f f T T f f f T T 
control,pm,24,163,51,T T T f f f T T T T 
control,am,24,163,47,f f f T T f T f f T 
control,am,24,163,49,f T T f f f f f f T 
control,am,24,163,51,f f T T f f f f T f 
oakMargin,pm,24,164,80,f f f f f T T T T T 
oakMargin,pm,24,164,82,T T T f T f T T T f 
oakMargin,pm,24,164,84,T T T f T T f f f f 
oakMargin,am,24,164,80,T T T T T f T T f f 
oakMargin,am,24,164,82,f f T f f T T T f T 
oakMargin,am,24,164,84,T T f T f f T T f T 
control,pm,24,164,47,T T T f T T T T T T 
control,pm,24,164,49,f f f T T T T f T T 
control,pm,24,164,51,f T f f T f f f T f 
control,am,24,164,47,T f f T T f f T T f 
control,am,24,164,49,T f f f f T f f T f 
control,am,24,164,51,f f T f f T f T f T 
oakMargin,pm,25,170,81,f T f f f T f f f f 
oakMargin,pm,25,170,83,f f f f f f f f f f 
oakMargin,pm,25,170,85,f f f T f f f f f f 
oakMargin,am,25,170,81,f f f f f f f f f f 
oakMargin,am,25,170,83,f f f f f f f f f f 
oakMargin,am,25,170,85,f T f f T f T T f f 
control,pm,25,170,45,T T f f T T f f f f 
control,pm,25,170,47,f f T f T T T f f f 
control,pm,25,170,49,f T f f T f f f f f 
control,am,25,170,45,f f f f f f f f f T 
control,am,25,170,47,f f f f f f f T f f 
control,am,25,170,49,f f f f f f f T f f 
oakMargin,pm,25,171,81,f f f f f f f f f f 
oakMargin,pm,25,171,83,f T T T f f f f f f 
oakMargin,pm,25,171,85,f f f f T f f f f f 
oakMargin,am,25,171,81,f f f f f f f f T T 
oakMargin,am,25,171,83,f f f f T f f f f T 
oakMargin,am,25,171,85,f f f T T f T T f f 
control,pm,25,171,45,f f f f f f f f f T 
control,pm,25,171,47,f f f f f f T T f f 
control,pm,25,171,49,f f f f f T f f f f 
control,am,25,171,45,f f f f f f f f f f 
control,am,25,171,47,f T f f T f f f f f 
control,am,25,171,49,T T f f f f f f f f 
oakMargin,pm,25,172,81,f T f T f f f f f T 
oakMargin,pm,25,172,83,f T f T f f f f f f 
oakMargin,pm,25,172,85,f f f f f T f T T f 
oakMargin,am,25,172,81,f f f f f f f f T f 
oakMargin,am,25,172,83,f T T f f f T f f f 
oakMargin,am,25,172,85,f f f f T f T f f f 
control,pm,25,172,47,f T f f T f T f T T 
control,pm,25,172,45,f f f f f f f T f T 
control,pm,25,172,49,f f f f T f f T T f 
control,am,25,172,45,f T f f f f f f f f 
control,am,25,172,47,f f T T f f f f T f 
control,am,25,172,49,f f f f f T f f f T 
oakMargin,pm,26,177,83,f f f f T f f f f f 
oakMargin,pm,26,177,85,f f f f T f f T f f 
oakMargin,pm,26,177,87,T f f f f f T f f f 
oakMargin,am,26,177,83,f f f f f f f f f f 
oakMargin,am,26,177,85,f f f f f f T T f f 
oakMargin,am,26,177,87,f f f f f f f f f f 
control,pm,26,177,46,T f f T f T f f f f 
control,pm,26,177,48,f f f T f f f T f f 
control,pm,26,177,50,f f f f T f f T T f 
control,am,26,177,46,f f f f f f f f f f 
control,am,26,177,48,f f f f f f f f T f 
control,am,26,177,50,f f f f f T f f f f 
oakMargin,pm,26,178,83,f T f f f f f f T f 
oakMargin,pm,26,178,85,f f f f f f f f f T 
oakMargin,pm,26,178,87,f f f f f f f f f f 
oakMargin,am,26,178,83,f T f T f f f f f T 
oakMargin,am,26,178,85,f f f T T T f f T f 
oakMargin,am,26,178,87,f f f f f f f f f f 
