transect,time,week,julian,row,nonZero
oakMargin,pm,23,156,79,2
oakMargin,pm,23,156,81,2
oakMargin,pm,23,156,83,1
control,pm,23,156,48,2
control,pm,23,156,50,2
control,pm,23,156,52,1
oakMargin,pm,23,157,79,2
oakMargin,pm,23,157,81,3
oakMargin,pm,23,157,83,1
oakMargin,am,23,157,79,2
oakMargin,am,23,157,81,1
oakMargin,am,23,157,83,0
control,pm,23,157,48,4
control,pm,23,157,50,2
control,pm,23,157,52,3
control,am,23,157,48,2
control,am,23,157,50,0
control,am,23,157,52,1
oakMargin,pm,23,158,79,5
oakMargin,pm,23,158,81,2
oakMargin,pm,23,158,83,3
oakMargin,am,23,158,79,3
oakMargin,am,23,158,81,2
oakMargin,am,23,158,83,0
control,pm,23,158,48,7
control,pm,23,158,50,3
control,pm,23,158,52,3
control,am,23,158,48,2
control,am,23,158,50,2
control,am,23,158,52,3
oakMargin,pm,24,162,80,6
oakMargin,pm,24,162,82,2
oakMargin,pm,24,162,84,5
oakMargin,am,24,162,80,2
oakMargin,am,24,162,82,1
oakMargin,am,24,162,84,3
control,pm,24,162,47,6
control,pm,24,162,49,3
control,pm,24,162,51,5
control,am,24,162,47,3
control,am,24,162,49,3
control,am,24,162,51,0
oakMargin,pm,24,163,80,9
oakMargin,pm,24,163,82,6
oakMargin,pm,24,163,84,3
oakMargin,am,24,163,80,4
oakMargin,am,24,163,82,3
oakMargin,am,24,163,84,5
control,pm,24,163,47,6
control,pm,24,163,49,5
control,pm,24,163,51,7
control,am,24,163,47,4
control,am,24,163,49,3
control,am,24,163,51,3
oakMargin,pm,24,164,80,5
oakMargin,pm,24,164,82,7
oakMargin,pm,24,164,84,5
oakMargin,am,24,164,80,7
oakMargin,am,24,164,82,5
oakMargin,am,24,164,84,6
control,pm,24,164,47,9
control,pm,24,164,49,6
control,pm,24,164,51,3
control,am,24,164,47,5
control,am,24,164,49,3
control,am,24,164,51,4
oakMargin,pm,25,170,81,2
oakMargin,pm,25,170,83,0
oakMargin,pm,25,170,85,1
oakMargin,am,25,170,81,0
oakMargin,am,25,170,83,0
