transect,time,week,trials,nonZero
oakMargin,pm,23,30,6
oakMargin,pm,24,30,18
oakMargin,pm,25,30,6
oakMargin,pm,26,30,3
oakMargin,pm,27,30,3
oakMargin,pm,28,30,3
oakMargin,pm,29,30,9
oakMargin,pm,30,30,3
oakMargin,pm,31,30,6
oakMargin,pm,32,30,3
oakMargin,pm,34,30,0
oakMargin,am,23,30,6
oakMargin,am,24,30,6
oakMargin,am,25,30,0
oakMargin,am,26,30,0
oakMargin,am,27,30,0
oakMargin,am,28,30,0
oakMargin,am,29,30,0
oakMargin,am,30,30,6
oakMargin,am,31,30,0
oakMargin,am,32,30,0
oakMargin,am,34,30,0
control,pm,23,30,6
control,pm,24,30,18
control,pm,25,30,12
control,pm,26,30,9
control,pm,27,30,3
control,pm,28,30,9
control,pm,29,30,3
control,pm,30,30,9
control,pm,31,30,0
control,pm,32,30,0
control,pm,34,40,0
control,am,23,30,6
control,am,24,30,9
control,am,25,30,3
control,am,26,30,0
control,am,27,30,3
control,am,28,30,3
control,am,29,30,6
control,am,30,30,0
control,am,31,30,0
control,am,32,30,0
control,am,34,30,3
