transect,time,data_label,trials,count,mean,variance
oakMargin,am,-w1-p1-,96,25,0.2604166666666667,0.25509982638888884
oakMargin,pm,-w1-p1-,108,48,0.4444444444444444,0.617283950617284
control,am,-w1-p1-,96,24,0.25,0.22916666666666666
control,pm,-w1-p1-,108,45,0.4166666666666667,0.6319444444444444
oakMargin,am,-w1-p2-,72,33,0.4583333333333333,0.5538194444444444
oakMargin,pm,-w1-p2-,81,32,0.3950617283950617,0.43651882335009906
control,am,-w1-p2-,72,11,0.1527777777777778,0.1572145061728395
control,pm,-w1-p2-,81,55,0.6790123456790124,0.8352385307117819
oakMargin,am,-w1-p3-,72,20,0.2777777777777778,0.3395061728395062
oakMargin,pm,-w1-p3-,81,42,0.5185185185185185,0.8175582990397806
control,am,-w1-p3-,72,27,0.375,0.5954861111111112
control,pm,-w1-p3-,81,53,0.654320987654321,0.8187776253619873
oakMargin,am,-w2-p1-,204,16,0.0784313725490196,0.10169165705497885
oakMargin,pm,-w2-p1-,192,21,0.109375,0.10782877604166667
control,am,-w2-p1-,204,19,0.09313725490196079,0.08446270665128795
control,pm,-w2-p1-,192,18,0.09375,0.10579427083333333
oakMargin,am,-w2-p2-,153,16,0.10457516339869281,0.1328548848733393
oakMargin,pm,-w2-p2-,144,23,0.1597222222222222,0.14809992283950615
control,am,-w2-p2-,153,15,0.09803921568627451,0.08842752787389467
control,pm,-w2-p2-,144,20,0.1388888888888889,0.1334876543209877
oakMargin,am,-w2-p3-,153,20,0.13071895424836602,0.15284719552308942
oakMargin,pm,-w2-p3-,144,22,0.1527777777777778,0.1572145061728395
control,am,-w2-p3-,153,23,0.1503267973856209,0.2192319193472596
control,pm,-w2-p3-,144,26,0.18055555555555555,0.1896219135802469
oakMargin,am,-w3-p1-,72,1,0.013888888888888888,0.013695987654320993
oakMargin,pm,-w3-p1-,72,4,0.05555555555555555,0.05246913580246913
control,am,-w3-p1-,72,2,0.027777777777777776,0.027006172839506157
control,pm,-w3-p1-,72,2,0.027777777777777776,0.027006172839506164
oakMargin,am,-w3-p2-,54,0,0.0,0.0
oakMargin,pm,-w3-p2-,54,5,0.09259259259259259,0.08401920438957472
control,am,-w3-p2-,54,1,0.018518518518518517,0.018175582990397805
control,pm,-w3-p2-,54,0,0.0,0.0
oakMargin,am,-w3-p3-,54,1,0.018518518518518517,0.018175582990397805
oakMargin,pm,-w3-p3-,54,1,0.018518518518518517,0.018175582990397805
control,am,-w3-p3-,54,2,0.037037037037037035,0.035665294924554176
control,pm,-w3-p3-,54,7,0.12962962962962962,0.11282578875171469
