,BOW cosine similarity,levenshtein distance,NGRAM cosine similarity,BPW flip,LD flip,NGRAM flip,data ID 1,data ID 2
0,0.9999999,0,1.0,0.9999999,0,1.0,162 am 24 control ,162 am 24 control 
1,0.97768813,3,0.7272727272727273,0.97768813,3,0.7272727272727273,162 am 24 control ,163 am 24 control 
2,0.95014405,2,0.6206896551724138,0.95014405,2,0.6206896551724138,162 am 24 control ,164 am 24 control 
3,0.97768813,3,0.7272727272727273,0.97768813,3,0.7272727272727273,163 am 24 control ,162 am 24 control 
4,1.0,0,1.0,1.0,0,1.0,163 am 24 control ,163 am 24 control 
5,0.9795705,3,0.7222222222222222,0.9795705,3,0.7222222222222222,163 am 24 control ,164 am 24 control 
6,0.95014405,2,0.6206896551724138,0.95014405,2,0.6206896551724138,164 am 24 control ,162 am 24 control 
7,0.9795705,3,0.7222222222222222,0.9795705,3,0.7222222222222222,164 am 24 control ,163 am 24 control 
8,1.0000001,0,1.0,1.0000001,0,1.0,164 am 24 control ,164 am 24 control 
0,1.0,0,1.0,1.0,0,1.0,162 pm 24 control ,162 pm 24 control 
1,0.90771765,2,0.6071428571428571,0.90771765,2,0.6071428571428571,162 pm 24 control ,163 pm 24 control 
2,0.90771765,2,0.6071428571428571,0.90771765,2,0.6071428571428571,162 pm 24 control ,164 pm 24 control 
3,0.9077177,2,0.6071428571428571,0.9077177,2,0.6071428571428571,163 pm 24 control ,162 pm 24 control 
4,1.0,0,1.0,1.0,0,1.0,163 pm 24 control ,163 pm 24 control 
5,1.0,0,1.0,1.0,0,1.0,163 pm 24 control ,164 pm 24 control 
6,0.9077177,2,0.6071428571428571,0.9077177,2,0.6071428571428571,164 pm 24 control ,162 pm 24 control 
7,1.0,0,1.0,1.0,0,1.0,164 pm 24 control ,163 pm 24 control 
8,1.0,0,1.0,1.0,0,1.0,164 pm 24 control ,164 pm 24 control 
0,0.99999994,0,1.0,0.99999994,0,1.0,162 am 24 oakMargin ,162 am 24 oakMargin 
1,0.90924764,4,0.47619047619047616,0.90924764,4,0.47619047619047616,162 am 24 oakMargin ,163 am 24 oakMargin 
2,0.89699686,2,0.47619047619047616,0.89699686,2,0.47619047619047616,162 am 24 oakMargin ,164 am 24 oakMargin 
3,0.90924764,4,0.47619047619047616,0.90924764,4,0.47619047619047616,163 am 24 oakMargin ,162 am 24 oakMargin 
4,1.0,0,1.0,1.0,0,1.0,163 am 24 oakMargin ,163 am 24 oakMargin 
5,0.99632204,2,1.0,0.99632204,2,1.0,163 am 24 oakMargin ,164 am 24 oakMargin 
6,0.89699686,2,0.47619047619047616,0.89699686,2,0.47619047619047616,164 am 24 oakMargin ,162 am 24 oakMargin 
7,0.9963221,2,1.0,0.9963221,2,1.0,164 am 24 oakMargin ,163 am 24 oakMargin 
8,0.99999994,0,1.0,0.99999994,0,1.0,164 am 24 oakMargin ,164 am 24 oakMargin 
0,1.0,0,1.0,1.0,0,1.0,162 pm 24 oakMargin ,162 pm 24 oakMargin 
1,0.97213954,2,0.9148936170212766,0.97213954,2,0.9148936170212766,162 pm 24 oakMargin ,163 pm 24 oakMargin 
2,0.95187426,2,0.875,0.95187426,2,0.875,162 pm 24 oakMargin ,164 pm 24 oakMargin 
3,0.97213954,2,0.9148936170212766,0.97213954,2,0.9148936170212766,163 pm 24 oakMargin ,162 pm 24 oakMargin 
4,1.0,0,1.0,1.0,0,1.0,163 pm 24 oakMargin ,163 pm 24 oakMargin 
5,0.94901043,1,0.9148936170212766,0.94901043,1,0.9148936170212766,163 pm 24 oakMargin ,164 pm 24 oakMargin 
6,0.95187426,2,0.875,0.95187426,2,0.875,164 pm 24 oakMargin ,162 pm 24 oakMargin 
7,0.9490104,1,0.9148936170212766,0.9490104,1,0.9148936170212766,164 pm 24 oakMargin ,163 pm 24 oakMargin 
8,1.0,0,1.0,1.0,0,1.0,164 pm 24 oakMargin ,164 pm 24 oakMargin 
