,transect,row,time,week,julian,count,position
3001,control,46,am,32,218,0,1
3002,control,46,am,32,218,0,2
3003,control,46,am,32,218,0,3
3004,control,46,am,32,218,0,4
3011,control,48,am,32,218,1,1
3012,control,48,am,32,218,0,2
3013,control,48,am,32,218,0,3
3014,control,48,am,32,218,0,4
3021,control,50,am,32,218,0,1
3022,control,50,am,32,218,0,2
3023,control,50,am,32,218,0,3
3024,control,50,am,32,218,0,4
3091,control,46,pm,32,218,0,1
3092,control,46,pm,32,218,0,2
3093,control,46,pm,32,218,0,3
3094,control,46,pm,32,218,0,4
3101,control,48,pm,32,218,0,1
3102,control,48,pm,32,218,0,2
3103,control,48,pm,32,218,0,3
3104,control,48,pm,32,218,0,4
3111,control,50,pm,32,218,0,1
3112,control,50,pm,32,218,0,2
3113,control,50,pm,32,218,0,3
3114,control,50,pm,32,218,0,4
3181,control,46,am,32,219,0,1
3182,control,46,am,32,219,0,2
3183,control,46,am,32,219,0,3
3184,control,46,am,32,219,0,4
3191,control,48,am,32,219,0,1
3192,control,48,am,32,219,0,2
3193,control,48,am,32,219,0,3
3194,control,48,am,32,219,0,4
3201,control,50,am,32,219,0,1
3202,control,50,am,32,219,0,2
3203,control,50,am,32,219,0,3
3204,control,50,am,32,219,0,4
3211,control,46,pm,32,219,0,1
3212,control,46,pm,32,219,0,2
3213,control,46,pm,32,219,0,3
3214,control,46,pm,32,219,0,4
3221,control,48,pm,32,219,0,1
3222,control,48,pm,32,219,0,2
3223,control,48,pm,32,219,1,3
3224,control,48,pm,32,219,0,4
3231,control,50,pm,32,219,0,1
3232,control,50,pm,32,219,0,2
3233,control,50,pm,32,219,0,3
3234,control,50,pm,32,219,0,4
3301,control,46,am,32,220,0,1
3302,control,46,am,32,220,1,2
3303,control,46,am,32,220,0,3
3304,control,46,am,32,220,0,4
3311,control,48,am,32,220,0,1
3312,control,48,am,32,220,0,2
3313,control,48,am,32,220,0,3
3314,control,48,am,32,220,0,4
3321,control,50,am,32,220,0,1
3322,control,50,am,32,220,0,2
3323,control,50,am,32,220,0,3
3324,control,50,am,32,220,0,4
3331,control,46,pm,32,220,0,1
3332,control,46,pm,32,220,0,2
3333,control,46,pm,32,220,0,3
3334,control,46,pm,32,220,0,4
3341,control,48,pm,32,220,0,1
3342,control,48,pm,32,220,0,2
3343,control,48,pm,32,220,0,3
3344,control,48,pm,32,220,0,4
3351,control,50,pm,32,220,0,1
3352,control,50,pm,32,220,0,2
3353,control,50,pm,32,220,0,3
3354,control,50,pm,32,220,0,4
3391,control,49,am,34,234,0,1
3392,control,49,am,34,234,0,2
3393,control,49,am,34,234,0,3
3394,control,49,am,34,234,0,4
3401,control,51,am,34,234,0,1
3402,control,51,am,34,234,0,2
3403,control,51,am,34,234,0,3
3404,control,51,am,34,234,0,4
3411,control,53,am,34,234,0,1
3412,control,53,am,34,234,0,2
3413,control,53,am,34,234,0,3
3414,control,53,am,34,234,0,4
3421,control,51,pm,34,234,0,1
3422,control,51,pm,34,234,0,2
3423,control,51,pm,34,234,0,3
3424,control,51,pm,34,234,0,4
3431,control,53,pm,34,234,0,1
3432,control,53,pm,34,234,0,2
3433,control,53,pm,34,234,0,3
3434,control,53,pm,34,234,0,4
3441,control,55,pm,34,234,0,1
3442,control,55,pm,34,234,0,2
3443,control,55,pm,34,234,0,3
3444,control,55,pm,34,234,0,4
3481,control,49,pm,34,235,0,1
3482,control,49,pm,34,235,0,2
3483,control,49,pm,34,235,0,3
3484,control,49,pm,34,235,0,4
3491,control,51,pm,34,235,0,1
3492,control,51,pm,34,235,0,2
3493,control,51,pm,34,235,0,3
3494,control,51,pm,34,235,0,4
3501,control,53,pm,34,235,0,1
3502,control,53,pm,34,235,1,2
3503,control,53,pm,34,235,0,3
3504,control,53,pm,34,235,0,4
3571,control,49,am,34,235,0,1
3572,control,49,am,34,235,0,2
3573,control,49,am,34,235,0,3
3574,control,49,am,34,235,0,4
3581,control,51,am,34,235,0,1
3582,control,51,am,34,235,0,2
3583,control,51,am,34,235,0,3
3584,control,51,am,34,235,0,4
3591,control,53,am,34,235,0,1
3592,control,53,am,34,235,0,2
3593,control,53,am,34,235,0,3
3594,control,53,am,34,235,0,4
3661,control,49,pm,34,236,0,1
3662,control,49,pm,34,236,0,2
3663,control,49,pm,34,236,0,3
3664,control,49,pm,34,236,0,4
3671,control,51,pm,34,236,0,1
3672,control,51,pm,34,236,0,2
3673,control,51,pm,34,236,0,3
3674,control,51,pm,34,236,0,4
3681,control,53,pm,34,236,0,1
3682,control,53,pm,34,236,0,2
3683,control,53,pm,34,236,0,3
3684,control,53,pm,34,236,0,4
3691,control,49,am,34,236,0,1
3692,control,49,am,34,236,0,2
3693,control,49,am,34,236,0,3
3694,control,49,am,34,236,0,4
3701,control,51,am,34,236,0,1
3702,control,51,am,34,236,0,2
3703,control,51,am,34,236,0,3
3704,control,51,am,34,236,0,4
3711,control,53,am,34,236,0,1
3712,control,53,am,34,236,0,2
3713,control,53,am,34,236,0,3
3714,control,53,am,34,236,0,4
