,transect,row,time,week,julian,count,position
1021,control,46,pm,26,177,1,1
1022,control,46,pm,26,177,0,2
1023,control,46,pm,26,177,0,3
1024,control,46,pm,26,177,1,4
1031,control,48,pm,26,177,0,1
1032,control,48,pm,26,177,0,2
1033,control,48,pm,26,177,0,3
1034,control,48,pm,26,177,1,4
1041,control,50,pm,26,177,0,1
1042,control,50,pm,26,177,0,2
1043,control,50,pm,26,177,0,3
1044,control,50,pm,26,177,0,4
1081,control,46,am,26,177,0,1
1082,control,46,am,26,177,0,2
1083,control,46,am,26,177,0,3
1084,control,46,am,26,177,0,4
1091,control,48,am,26,177,0,1
1092,control,48,am,26,177,0,2
1093,control,48,am,26,177,0,3
1094,control,48,am,26,177,0,4
1101,control,50,am,26,177,0,1
1102,control,50,am,26,177,0,2
1103,control,50,am,26,177,0,3
1104,control,50,am,26,177,0,4
1141,control,46,pm,26,178,0,1
1142,control,46,pm,26,178,0,2
1143,control,46,pm,26,178,0,3
1144,control,46,pm,26,178,0,4
1151,control,48,pm,26,178,0,1
1152,control,48,pm,26,178,0,2
1153,control,48,pm,26,178,0,3
1154,control,48,pm,26,178,2,4
1161,control,50,pm,26,178,0,1
1162,control,50,pm,26,178,0,2
1163,control,50,pm,26,178,0,3
1164,control,50,pm,26,178,0,4
1171,control,46,am,26,178,1,1
1172,control,46,am,26,178,0,2
1173,control,46,am,26,178,0,3
1174,control,46,am,26,178,0,4
1181,control,48,am,26,178,0,1
1182,control,48,am,26,178,0,2
1183,control,48,am,26,178,0,3
1184,control,48,am,26,178,0,4
1191,control,50,am,26,178,0,1
1192,control,50,am,26,178,0,2
1193,control,50,am,26,178,0,3
1194,control,50,am,26,178,0,4
1261,control,46,am,26,179,0,1
1262,control,46,am,26,179,0,2
1263,control,46,am,26,179,0,3
1264,control,46,am,26,179,0,4
1271,control,48,am,26,179,0,1
1272,control,48,am,26,179,0,2
1273,control,48,am,26,179,0,3
1274,control,48,am,26,179,0,4
1281,control,50,am,26,179,0,1
1282,control,50,am,26,179,0,2
1283,control,50,am,26,179,0,3
1284,control,50,am,26,179,0,4
1321,control,46,pm,26,179,0,1
1322,control,46,pm,26,179,0,2
1323,control,46,pm,26,179,0,3
1324,control,46,pm,26,179,0,4
1331,control,48,pm,26,179,0,1
1332,control,48,pm,26,179,0,2
1333,control,48,pm,26,179,0,3
1334,control,48,pm,26,179,0,4
1341,control,50,pm,26,179,0,1
1342,control,50,pm,26,179,0,2
1343,control,50,pm,26,179,0,3
1344,control,50,pm,26,179,0,4
1381,control,47,pm,27,183,1,1
1382,control,47,pm,27,183,0,2
1383,control,47,pm,27,183,0,3
1384,control,47,pm,27,183,0,4
1391,control,49,pm,27,183,0,1
1392,control,49,pm,27,183,0,2
1393,control,49,pm,27,183,0,3
1394,control,49,pm,27,183,0,4
1401,control,51,pm,27,183,0,1
1402,control,51,pm,27,183,0,2
1403,control,51,pm,27,183,0,3
1404,control,51,pm,27,183,0,4
1441,control,47,am,27,183,0,1
1442,control,47,am,27,183,0,2
