,values
1,0.726426699477219
3,0.7486835274159163
47,0.8745025104535618
49,0.9226602125477963
81,0.4288607225187704
93,0.8625656618286168
96,0.844776823388592
115,0.9086739989408911
128,0.9090386568009083
131,0.6711635945495129
149,0.8149881595795462
153,0.8426821785144218
192,0.6632088799125749
217,0.7166569144322884
226,0.6660479326550426
237,0.7628883083890894
242,0.8528688666406621
249,0.6406435465029948
256,0.7592828231610852
260,0.845193751443845
300,0.8073176646288953
302,0.6373258780819584
312,0.7551747681306739
341,0.8206287178222046
354,0.8717401000485963
368,0.5717740843735655
402,0.7414407253565545
458,0.8839424539750094
481,0.8069589580426695
486,0.8986972153143041
487,0.6128320222718622
533,0.9519039562552749
547,0.8909355356220472
556,0.8087494955534504
562,0.7773862166156985
577,0.735916348977593
583,0.879645745910265
600,0.5976672047402684
610,0.7048778081099556
631,0.8896974929091649
635,0.6196640798341447
645,0.6954902661448374
665,0.9117909261491123
671,0.7005686276267187
682,0.8630757304117028
709,0.8760973039978838
712,0.8441955296961547
725,0.8060305676447902
727,0.8716226078980227
772,0.6241506250958248
786,0.9446715427399541
796,0.7645045632421908
831,0.9097310559437862
837,0.7630059139959939
880,0.8535691106808723
888,0.6064111610998572
889,0.9251682386225337
907,0.9446283495173701
909,0.8634266577758068
911,0.5687814171676274
918,0.9542786082195159
927,0.9588692618029782
928,0.8300608649269525
931,0.7406161921037963
934,0.6491655526043411
935,0.8845901408530041
938,0.7469774939719145
939,0.7559422275421526
952,0.6554675105394348
963,0.9341629502683544
965,0.7858537737473906
969,0.7316362829173861
981,0.7316827298175421
988,0.5060380159739669
1046,0.5128715802841147
1063,0.8585127558031758
1083,0.8897534278909925
1100,0.8186589393491815
1126,0.7206963207738679
1137,0.8533928837411527
1150,0.6559027509418273
1151,0.8619237992919142
1162,0.8480005619433636
1170,0.6325557879325993
1207,0.6760395738604122
1229,0.9382860639186033
1250,0.7254942145290627
1261,0.8428186953541834
1264,0.7925526891866805
1286,0.788826064656036
1288,0.830926203551595
1303,0.741291695420797
1336,0.7872446688313975
1383,0.8445812114332584
1428,0.8147358842049862
1432,0.8882408710533117
1446,0.7953449439594735
1456,0.6193408011219144
1505,0.8656747061566307
1513,0.8147099388976279
1536,0.8881002526754109
1544,0.8689730885598534
1562,0.6173765590790917
1576,0.8312359842231781
