,transect,row,time,week,julian,count,position
1,oakMargin,79,pm,23,156,0,1
2,oakMargin,79,pm,23,156,0,2
3,oakMargin,79,pm,23,156,0,3
4,oakMargin,79,pm,23,156,0,4
5,oakMargin,79,pm,23,156,0,5
6,oakMargin,79,pm,23,156,0,6
7,oakMargin,79,pm,23,156,1,7
8,oakMargin,79,pm,23,156,0,8
9,oakMargin,79,pm,23,156,1,9
10,oakMargin,79,pm,23,156,0,10
11,oakMargin,81,pm,23,156,0,1
12,oakMargin,81,pm,23,156,0,2
13,oakMargin,81,pm,23,156,0,3
14,oakMargin,81,pm,23,156,0,4
15,oakMargin,81,pm,23,156,1,5
16,oakMargin,81,pm,23,156,0,6
17,oakMargin,81,pm,23,156,0,7
18,oakMargin,81,pm,23,156,1,8
19,oakMargin,81,pm,23,156,0,9
20,oakMargin,81,pm,23,156,0,10
21,oakMargin,83,pm,23,156,0,1
22,oakMargin,83,pm,23,156,0,2
23,oakMargin,83,pm,23,156,0,3
24,oakMargin,83,pm,23,156,0,4
25,oakMargin,83,pm,23,156,1,5
26,oakMargin,83,pm,23,156,0,6
27,oakMargin,83,pm,23,156,0,7
28,oakMargin,83,pm,23,156,0,8
29,oakMargin,83,pm,23,156,0,9
30,oakMargin,83,pm,23,156,0,10
91,oakMargin,79,am,23,157,0,1
92,oakMargin,79,am,23,157,1,2
93,oakMargin,79,am,23,157,0,3
94,oakMargin,79,am,23,157,0,4
95,oakMargin,79,am,23,157,0,5
96,oakMargin,79,am,23,157,0,6
97,oakMargin,79,am,23,157,1,7
98,oakMargin,79,am,23,157,0,8
99,oakMargin,79,am,23,157,0,9
100,oakMargin,79,am,23,157,0,10
101,oakMargin,81,am,23,157,0,1
102,oakMargin,81,am,23,157,0,2
103,oakMargin,81,am,23,157,0,3
104,oakMargin,81,am,23,157,0,4
105,oakMargin,81,am,23,157,0,5
106,oakMargin,81,am,23,157,0,6
107,oakMargin,81,am,23,157,1,7
108,oakMargin,81,am,23,157,0,8
109,oakMargin,81,am,23,157,0,9
110,oakMargin,81,am,23,157,0,10
111,oakMargin,83,am,23,157,0,1
112,oakMargin,83,am,23,157,0,2
113,oakMargin,83,am,23,157,0,3
114,oakMargin,83,am,23,157,0,4
115,oakMargin,83,am,23,157,0,5
116,oakMargin,83,am,23,157,0,6
117,oakMargin,83,am,23,157,0,7
118,oakMargin,83,am,23,157,0,8
119,oakMargin,83,am,23,157,0,9
120,oakMargin,83,am,23,157,0,10
121,oakMargin,79,pm,23,157,0,1
122,oakMargin,79,pm,23,157,0,2
123,oakMargin,79,pm,23,157,0,3
124,oakMargin,79,pm,23,157,0,4
125,oakMargin,79,pm,23,157,2,5
126,oakMargin,79,pm,23,157,0,6
127,oakMargin,79,pm,23,157,1,7
128,oakMargin,79,pm,23,157,0,8
129,oakMargin,79,pm,23,157,0,9
130,oakMargin,79,pm,23,157,0,10
131,oakMargin,81,pm,23,157,0,1
132,oakMargin,81,pm,23,157,0,2
133,oakMargin,81,pm,23,157,0,3
134,oakMargin,81,pm,23,157,1,4
135,oakMargin,81,pm,23,157,1,5
136,oakMargin,81,pm,23,157,0,6
137,oakMargin,81,pm,23,157,0,7
138,oakMargin,81,pm,23,157,0,8
139,oakMargin,81,pm,23,157,1,9
