,transect,row,time,week,julian,count,position
3038,oakMargin,80,pm,32,218,0,8
3039,oakMargin,80,pm,32,218,0,9
3040,oakMargin,80,pm,32,218,0,10
3048,oakMargin,82,pm,32,218,0,8
3049,oakMargin,82,pm,32,218,0,9
3050,oakMargin,82,pm,32,218,0,10
3058,oakMargin,84,pm,32,218,0,8
3059,oakMargin,84,pm,32,218,0,9
3060,oakMargin,84,pm,32,218,0,10
3068,oakMargin,80,am,32,218,0,8
3069,oakMargin,80,am,32,218,0,9
3070,oakMargin,80,am,32,218,0,10
3078,oakMargin,82,am,32,218,0,8
3079,oakMargin,82,am,32,218,1,9
3080,oakMargin,82,am,32,218,0,10
3088,oakMargin,84,am,32,218,0,8
3089,oakMargin,84,am,32,218,0,9
3090,oakMargin,84,am,32,218,0,10
3128,oakMargin,80,am,32,219,0,8
3129,oakMargin,80,am,32,219,0,9
3130,oakMargin,80,am,32,219,0,10
3138,oakMargin,82,am,32,219,0,8
3139,oakMargin,82,am,32,219,0,9
3140,oakMargin,82,am,32,219,0,10
3148,oakMargin,84,am,32,219,0,8
3149,oakMargin,84,am,32,219,0,9
3150,oakMargin,84,am,32,219,0,10
3158,oakMargin,80,pm,32,219,0,8
3159,oakMargin,80,pm,32,219,0,9
3160,oakMargin,80,pm,32,219,0,10
3168,oakMargin,82,pm,32,219,0,8
3169,oakMargin,82,pm,32,219,0,9
3170,oakMargin,82,pm,32,219,0,10
3178,oakMargin,84,pm,32,219,0,8
3179,oakMargin,84,pm,32,219,0,9
3180,oakMargin,84,pm,32,219,0,10
3248,oakMargin,80,am,32,220,0,8
3249,oakMargin,80,am,32,220,0,9
3250,oakMargin,80,am,32,220,0,10
3258,oakMargin,82,am,32,220,0,8
3259,oakMargin,82,am,32,220,0,9
3260,oakMargin,82,am,32,220,0,10
3268,oakMargin,84,am,32,220,0,8
3269,oakMargin,84,am,32,220,0,9
3270,oakMargin,84,am,32,220,0,10
3278,oakMargin,80,pm,32,220,0,8
3279,oakMargin,80,pm,32,220,1,9
3280,oakMargin,80,pm,32,220,0,10
3288,oakMargin,82,pm,32,220,0,8
3289,oakMargin,82,pm,32,220,0,9
3290,oakMargin,82,pm,32,220,0,10
3298,oakMargin,84,pm,32,220,0,8
3299,oakMargin,84,pm,32,220,0,9
3300,oakMargin,84,pm,32,220,0,10
3368,oakMargin,81,pm,34,234,0,8
3369,oakMargin,81,pm,34,234,0,9
3370,oakMargin,81,pm,34,234,0,10
3378,oakMargin,83,pm,34,234,0,8
3379,oakMargin,83,pm,34,234,0,9
3380,oakMargin,83,pm,34,234,0,10
3388,oakMargin,85,pm,34,234,0,8
3389,oakMargin,85,pm,34,234,0,9
3390,oakMargin,85,pm,34,234,0,10
3458,oakMargin,81,am,34,234,0,8
3459,oakMargin,81,am,34,234,0,9
3460,oakMargin,81,am,34,234,0,10
3468,oakMargin,83,am,34,234,0,8
3469,oakMargin,83,am,34,234,0,9
3470,oakMargin,83,am,34,234,0,10
3478,oakMargin,85,am,34,234,0,8
3479,oakMargin,85,am,34,234,0,9
3480,oakMargin,85,am,34,234,0,10
3518,oakMargin,81,am,34,235,0,8
3519,oakMargin,81,am,34,235,0,9
3520,oakMargin,81,am,34,235,0,10
3528,oakMargin,83,am,34,235,0,8
3529,oakMargin,83,am,34,235,0,9
3530,oakMargin,83,am,34,235,0,10
3538,oakMargin,85,am,34,235,0,8
3539,oakMargin,85,am,34,235,0,9
3540,oakMargin,85,am,34,235,0,10
3548,oakMargin,81,pm,34,235,0,8
3549,oakMargin,81,pm,34,235,0,9
3550,oakMargin,81,pm,34,235,0,10
3558,oakMargin,83,pm,34,235,0,8
3559,oakMargin,83,pm,34,235,0,9
3560,oakMargin,83,pm,34,235,0,10
3568,oakMargin,85,pm,34,235,0,8
3569,oakMargin,85,pm,34,235,0,9
3570,oakMargin,85,pm,34,235,0,10
3608,oakMargin,81,pm,34,236,0,8
3609,oakMargin,81,pm,34,236,0,9
3610,oakMargin,81,pm,34,236,0,10
3618,oakMargin,83,pm,34,236,0,8
3619,oakMargin,83,pm,34,236,0,9
3620,oakMargin,83,pm,34,236,0,10
3628,oakMargin,85,pm,34,236,0,8
3629,oakMargin,85,pm,34,236,0,9
3630,oakMargin,85,pm,34,236,0,10
3638,oakMargin,81,am,34,236,0,8
3639,oakMargin,81,am,34,236,0,9
3640,oakMargin,81,am,34,236,0,10
3648,oakMargin,83,am,34,236,0,8
3649,oakMargin,83,am,34,236,0,9
3650,oakMargin,83,am,34,236,0,10
3658,oakMargin,85,am,34,236,0,8
3659,oakMargin,85,am,34,236,0,9
3660,oakMargin,85,am,34,236,0,10
