transect,time,data_label,count,mean,variance
oakMargin,am,_1to4_23to25,73,0.35784313725490197,0.45528162245290266
control,am,_1to4_23to25,69,0.3382352941176471,0.4493223760092272
oakMargin,am,_1to4_26to31,37,0.09343434343434344,0.1049063871033568
control,am,_1to4_26to31,37,0.09343434343434344,0.09480537700234672
oakMargin,am,_1to4_32to34,5,0.034722222222222224,0.03351658950617283
control,am,_1to4_32to34,4,0.027777777777777776,0.02700617283950616
oakMargin,am,_5to7_26to31,39,0.13131313131313133,0.14100601979389862
control,am,_5to7_26to31,35,0.11784511784511785,0.11069165277919485
oakMargin,am,_5to7_26to31,39,0.13131313131313133,0.14100601979389862
control,am,_5to7_26to31,35,0.11784511784511785,0.11069165277919485
oakMargin,am,_5to7_26to31,37,0.09343434343434344,0.1049063871033568
control,am,_5to7_26to31,37,0.09343434343434344,0.09480537700234672
oakMargin,am,_8to10_26to31,2,0.018518518518518517,0.018175582990397808
control,am,_8to10_26to31,9,0.08333333333333333,0.0763888888888889
oakMargin,am,_8to10_26to31,2,0.018518518518518517,0.018175582990397808
control,am,_8to10_26to31,9,0.08333333333333333,0.0763888888888889
oakMargin,am,_8to10_32to34,2,0.018518518518518517,0.018175582990397808
control,am,_8to10_32to34,9,0.08333333333333333,0.0763888888888889
oakMargin,pm,_1to4_23to25,73,0.35784313725490197,0.45528162245290266
control,pm,_1to4_23to25,69,0.3382352941176471,0.4493223760092272
oakMargin,pm,_1to4_26to31,37,0.09343434343434344,0.1049063871033568
control,pm,_1to4_26to31,37,0.09343434343434344,0.09480537700234672
oakMargin,pm,_1to4_32to34,5,0.034722222222222224,0.03351658950617283
control,pm,_1to4_32to34,4,0.027777777777777776,0.02700617283950616
oakMargin,pm,_5to7_26to31,39,0.13131313131313133,0.14100601979389862
control,pm,_5to7_26to31,35,0.11784511784511785,0.11069165277919485
oakMargin,pm,_5to7_26to31,39,0.13131313131313133,0.14100601979389862
control,pm,_5to7_26to31,35,0.11784511784511785,0.11069165277919485
oakMargin,pm,_5to7_26to31,37,0.09343434343434344,0.1049063871033568
control,pm,_5to7_26to31,37,0.09343434343434344,0.09480537700234672
oakMargin,pm,_8to10_26to31,2,0.018518518518518517,0.018175582990397808
control,pm,_8to10_26to31,9,0.08333333333333333,0.0763888888888889
oakMargin,pm,_8to10_26to31,2,0.018518518518518517,0.018175582990397808
control,pm,_8to10_26to31,9,0.08333333333333333,0.0763888888888889
oakMargin,pm,_8to10_32to34,2,0.018518518518518517,0.018175582990397808
control,pm,_8to10_32to34,9,0.08333333333333333,0.0763888888888889
