stacked_sim,stacked_ngram,row
1.0,0.692,0
0.8,0.571,1
0.8,0.63,2
0.8,0.63,3
0.8,0.571,4
0.9,0.833,5
0.8,0.571,6
0.9,0.76,7
0.8,0.63,8
0.8,0.517,9
0.8,0.63,10
1.0,1.0,11
0.9,0.76,12
1.0,1.0,13
1.0,1.0,14
0.9,0.76,15
0.9,0.833,16
0.8,0.571,17
0.8,0.63,18
0.9,0.63,19
0.9,0.76,20
0.9,0.76,21
0.8,0.571,22
0.9,0.76,23
0.9,0.833,24
0.9,0.76,25
0.9,0.76,26
0.8,0.63,27
0.7,0.467,28
0.9,0.63,29
1.0,0.692,30
0.6,0.419,31
0.7,0.419,32
0.9,0.76,33
0.8,0.63,34
0.8,0.63,35
0.9,0.76,36
0.8,0.571,37
0.9,0.517,38
0.9,0.76,39
0.9,0.76,40
0.7,0.467,41
0.8,0.571,42
0.9,0.63,43
1.0,0.692,44
0.7,0.467,45
0.9,0.76,46
0.8,0.692,47
0.9,0.76,48
0.8,0.63,49
0.7,0.467,50
0.8,0.692,51
1.0,1.0,52
1.0,0.833,53
0.9,0.63,54
0.8,0.517,55
0.9,0.76,56
0.7,0.467,57
0.8,0.571,58
1.0,1.0,59
0.8,0.63,60
0.6,0.375,61
0.9,0.76,62
0.7,0.467,63
0.9,0.692,64
0.9,0.833,65
0.9,0.76,66
1.0,0.692,67
0.7,0.419,68
0.9,0.833,69
0.8,0.571,70
0.9,0.76,71
0.8,0.419,72
0.9,0.76,73
0.9,0.692,74
0.9,0.63,75
0.7,0.419,76
0.9,0.76,77
0.9,0.76,78
1.0,0.571,79
0.9,0.76,80
0.8,0.419,81
1.0,1.0,82
0.8,0.571,83
0.9,0.76,84
1.0,0.63,85
0.9,0.76,86
0.9,0.833,87
0.8,0.571,88
0.7,0.419,89
0.9,0.76,90
1.0,0.571,91
0.9,0.571,92
0.9,0.76,93
1.0,1.0,94
0.9,0.76,95
0.6,0.375,96
1.0,1.0,97
0.9,0.76,98
0.9,0.63,99
1.0,0.833,100
0.9,0.76,101
0.8,0.63,102
0.8,0.571,103
0.7,0.467,104
0.8,0.571,105
0.6,0.333,106
0.8,0.63,107
0.9,0.63,108
0.9,0.76,109
0.8,0.571,110
0.9,0.76,111
0.6,0.333,112
1.0,0.63,113
0.9,0.76,114
0.8,0.63,115
0.9,0.76,116
0.8,0.63,117
0.8,0.63,118
1.0,1.0,119
0.9,0.76,120
1.0,1.0,121
0.9,0.76,122
0.8,0.63,123
0.9,0.76,124
0.6,0.333,125
0.9,0.76,126
0.8,0.571,127
0.8,0.63,128
1.0,1.0,129
0.9,0.692,130
0.9,0.76,131
0.8,0.571,132
1.0,0.833,133
0.7,0.419,134
0.9,0.833,135
0.9,0.833,136
0.9,0.76,137
1.0,0.833,138
0.6,0.375,139
0.8,0.571,140
0.9,0.76,141
0.9,0.517,142
0.9,0.517,143
0.8,0.571,144
0.9,0.63,145
0.7,0.517,146
1.0,1.0,147
0.9,0.76,148
0.9,0.76,149
0.8,0.571,150
0.9,0.76,151
1.0,1.0,152
0.9,0.63,153
0.9,0.76,154
0.9,0.833,155
1.0,1.0,156
1.0,1.0,157
0.8,0.571,158
0.8,0.571,159
0.8,0.63,160
0.9,0.76,161
0.8,0.467,162
0.9,0.76,163
0.9,0.76,164
1.0,0.692,165
0.7,0.419,166
0.9,0.76,167
0.8,0.63,168
0.9,0.833,169
0.8,0.571,170
1.0,1.0,171
0.8,0.692,172
0.6,0.333,173
0.8,0.63,174
0.7,0.517,175
0.9,0.76,176
1.0,0.833,177
0.7,0.333,178
1.0,1.0,179
1.0,0.833,180
1.0,1.0,181
0.8,0.571,182
0.9,0.76,183
0.6,0.333,184
0.6,0.419,185
0.5,0.257,186
0.9,0.76,187
0.7,0.467,188
0.9,0.76,189
0.7,0.419,190
0.8,0.63,191
0.8,0.63,192
0.9,0.76,193
0.7,0.517,194
0.9,0.63,195
0.9,0.76,196
0.9,0.833,197
0.9,0.76,198
0.9,0.517,199
1.0,0.833,200
0.9,0.833,201
0.9,0.76,202
0.8,0.63,203
0.9,0.76,204
0.7,0.467,205
0.8,0.63,206
0.9,0.76,207
0.4,0.189,208
1.0,1.0,209
0.6,0.333,210
1.0,0.692,211
0.8,0.63,212
0.7,0.517,213
1.0,1.0,214
1.0,0.833,215
0.7,0.467,216
0.8,0.375,217
1.0,0.63,218
0.9,0.833,219
0.9,0.76,220
1.0,1.0,221
1.0,0.833,222
1.0,0.833,223
0.9,0.76,224
1.0,1.0,225
0.7,0.467,226
0.9,0.76,227
0.7,0.419,228
0.9,0.517,229
1.0,0.833,230
0.8,0.571,231
0.9,0.76,232
0.8,0.63,233
1.0,1.0,234
0.8,0.517,235
0.7,0.419,236
1.0,1.0,237
0.9,0.63,238
1.0,0.692,239
1.0,0.833,240
0.8,0.571,241
0.9,0.833,242
0.9,0.63,243
0.7,0.467,244
0.8,0.467,245
0.9,0.76,246
0.8,0.571,247
0.8,0.63,248
1.0,0.692,249
1.0,1.0,250
0.9,0.76,251
0.7,0.467,252
0.8,0.692,253
0.7,0.467,254
0.9,0.76,255
