triplet,index_0,index_1,index_2,ngram_0,ngram_1,ngram_2
0,0.9,1.0,0.9,0.484,0.643,0.704
1,0.8,0.9,0.7,0.484,0.84,0.394
2,0.6,0.7,0.9,0.243,0.484,0.586
3,1.0,0.7,0.7,0.438,0.314,0.484
4,0.9,0.9,1.0,0.484,0.643,0.484
5,0.9,0.9,0.8,0.438,0.484,0.438
6,0.6,0.9,0.7,0.353,0.704,0.484
7,0.7,0.9,0.8,0.438,0.586,0.704
8,0.6,0.8,0.8,0.314,0.533,0.586
9,0.9,0.6,0.7,0.704,0.314,0.484
10,1.0,0.8,0.8,0.704,0.484,0.314
11,0.8,0.9,0.9,0.704,0.704,0.769
12,0.6,0.4,0.8,0.314,0.179,0.484
13,0.9,0.7,0.8,0.484,0.353,0.586
14,0.8,0.9,0.9,0.394,0.394,0.438
15,0.8,0.9,0.9,0.438,0.314,0.533
16,0.7,0.6,0.9,0.484,0.353,0.769
17,1.0,0.9,0.9,0.484,0.769,0.438
18,0.9,0.8,0.9,0.704,0.438,0.394
19,0.9,0.9,1.0,0.769,0.438,0.438
20,0.8,0.8,1.0,0.484,0.438,0.586
21,0.8,1.0,0.8,0.586,0.643,0.484
22,1.0,0.9,0.9,0.484,0.704,0.533
23,0.9,0.7,0.8,0.704,0.533,0.586
24,0.9,0.6,0.7,0.704,0.314,0.394
25,0.6,0.7,0.9,0.394,0.484,0.533
26,0.8,0.9,0.7,0.438,0.586,0.484
27,1.0,1.0,1.0,0.484,0.438,0.484
28,0.6,0.8,0.8,0.353,0.586,0.353
29,0.9,1.0,0.9,0.704,0.586,0.704
30,0.6,0.7,0.3,0.314,0.314,0.179
31,0.9,0.8,0.9,0.704,0.438,0.586
32,0.8,1.0,0.8,0.533,0.586,0.586
33,0.8,0.8,0.6,0.278,0.484,0.394
34,1.0,0.9,0.9,0.484,0.394,0.314
35,0.9,0.8,0.9,0.586,0.586,0.704
36,0.7,0.9,0.6,0.438,0.533,0.394
37,0.8,0.7,0.9,0.438,0.484,0.438
38,0.9,0.6,0.5,0.586,0.211,0.211
39,0.7,0.7,1.0,0.484,0.314,0.643
40,0.8,1.0,0.8,0.484,0.484,0.484
41,0.7,0.9,0.8,0.484,0.484,0.586
42,0.9,0.7,0.6,0.586,0.314,0.394
43,0.6,0.9,0.5,0.394,0.769,0.314
44,0.9,0.9,1.0,0.704,0.484,0.484
45,0.9,0.8,0.9,0.438,0.586,0.643
46,0.9,0.9,1.0,0.484,0.769,0.438
47,0.7,0.9,0.8,0.484,0.586,0.533
48,0.4,0.9,0.5,0.122,0.643,0.211
49,0.9,0.9,0.8,0.704,0.704,0.484
50,0.7,0.9,0.8,0.484,0.704,0.704
51,0.7,0.9,0.8,0.353,0.484,0.438
52,0.9,0.9,1.0,0.484,0.586,0.586
53,1.0,0.7,0.7,0.484,0.211,0.484
54,0.9,0.6,0.7,0.438,0.394,0.353
