,transect,time,week,p0,delimeter,p1,p2,p3,p4,p5,p6,p7,p8,p9
0,control,am,34,0,:,0,0,0,0,0,0,0,1,0
1,control,pm,34,0,:,1,0,0,0,0,0,0,1,1
2,oakMargin,am,34,0,:,0,0,0,0,0,0,0,0,0
3,oakMargin,pm,34,1,:,0,0,0,0,0,0,0,0,0
4,control,am,32,1,:,1,0,0,0,0,1,1,0,0
5,control,pm,32,0,:,0,1,0,0,0,0,3,0,2
6,oakMargin,am,32,1,:,0,0,0,0,0,0,0,1,0
7,oakMargin,pm,32,1,:,0,0,2,0,2,3,0,1,0
8,control,am,31,0,:,1,2,0,1,0,0,4,3,1
9,control,pm,31,0,:,0,0,0,2,1,0,1,0,0
10,oakMargin,am,31,0,:,1,0,0,0,0,1,0,0,2
11,oakMargin,pm,31,0,:,0,3,1,1,0,1,1,0,0
12,control,am,30,1,:,0,2,0,1,1,0,1,0,4
13,control,pm,30,0,:,0,1,1,1,2,1,3,2,0
14,oakMargin,am,30,2,:,0,0,0,0,1,2,0,1,1
15,oakMargin,pm,30,0,:,0,0,0,3,1,2,0,0,0
16,control,am,29,1,:,1,2,3,1,2,0,1,0,0
17,control,pm,29,0,:,0,1,0,1,2,0,2,0,4
18,oakMargin,am,29,0,:,0,0,1,1,0,1,1,0,2
19,oakMargin,pm,29,0,:,2,1,2,1,1,3,3,3,0
20,control,am,28,1,:,1,0,3,2,0,2,2,0,0
21,control,pm,28,2,:,3,4,0,1,1,0,4,0,2
22,oakMargin,am,28,4,:,1,1,1,1,0,4,2,5,0
23,oakMargin,pm,28,1,:,1,2,2,3,3,1,3,2,0
24,control,am,27,0,:,0,0,0,0,0,2,1,1,0
25,control,pm,27,1,:,0,0,0,0,1,1,1,0,0
26,oakMargin,am,27,0,:,1,1,0,0,1,0,0,1,1
27,oakMargin,pm,27,0,:,0,1,1,0,0,0,2,1,2
28,control,am,26,1,:,0,0,0,1,1,1,4,1,0
29,control,pm,26,1,:,0,0,4,2,1,3,4,2,1
30,oakMargin,am,26,0,:,1,0,2,2,1,1,1,1,2
31,oakMargin,pm,26,1,:,1,0,2,2,0,1,1,3,1
32,control,am,25,1,:,3,1,1,2,1,0,2,1,2
33,control,pm,25,1,:,3,1,0,7,5,4,4,2,3
34,oakMargin,am,25,0,:,2,1,2,4,0,5,2,2,4
35,oakMargin,pm,25,0,:,5,3,4,3,2,0,1,1,1
36,control,am,24,3,:,2,4,5,3,2,1,3,9,6
37,control,pm,24,8,:,6,10,3,10,7,10,5,14,15
38,oakMargin,am,24,5,:,4,3,4,4,4,12,6,1,4
39,oakMargin,pm,24,10,:,9,6,2,7,5,7,9,14,6
40,control,am,23,0,:,2,1,1,0,1,1,3,0,1
41,control,pm,23,1,:,3,4,5,1,5,6,5,1,4
42,oakMargin,am,23,1,:,3,0,0,0,0,4,0,0,1
43,oakMargin,pm,23,1,:,3,2,3,5,0,3,3,4,3
