transect,time,week,p.value
oakMargin,am,23,0.34
oakMargin,am,23,0.18
oakMargin,am,23,0.15
oakMargin,am,24,0.71
oakMargin,am,24,0.26
oakMargin,am,24,0.17
oakMargin,am,25,0.33
oakMargin,am,25,0.17
oakMargin,am,25,0.46
oakMargin,am,26,0.48
oakMargin,am,26,0.17
oakMargin,am,26,0.03
oakMargin,am,27,0.15
oakMargin,am,27,0.35
oakMargin,am,27,0.77
oakMargin,am,28,0.57
oakMargin,am,28,0.85
oakMargin,am,28,0.48
oakMargin,am,29,0.15
oakMargin,am,29,0.15
oakMargin,am,29,1
oakMargin,am,30,0.85
oakMargin,am,30,0.15
oakMargin,am,30,0.17
oakMargin,am,31,1
oakMargin,am,31,1
oakMargin,am,31,0.77
oakMargin,am,32,1
oakMargin,am,32,1
oakMargin,am,32,1
oakMargin,am,34,NA
oakMargin,am,34,NA
oakMargin,am,34,NA
oakMargin,pm,23,0.48
oakMargin,pm,23,0.6
oakMargin,pm,23,1
oakMargin,pm,24,0.44
oakMargin,pm,24,0.4
oakMargin,pm,24,0.95
oakMargin,pm,25,0.57
oakMargin,pm,25,0.78
oakMargin,pm,25,1
oakMargin,pm,26,0.77
oakMargin,pm,26,0.57
oakMargin,pm,26,0.78
oakMargin,pm,27,0.37
oakMargin,pm,27,0.77
oakMargin,pm,27,0.57
oakMargin,pm,28,0.39
oakMargin,pm,28,0.68
oakMargin,pm,28,0.59
oakMargin,pm,29,0.78
oakMargin,pm,29,0.82
oakMargin,pm,29,1
oakMargin,pm,30,1
oakMargin,pm,30,1
oakMargin,pm,30,1
oakMargin,pm,31,0.59
oakMargin,pm,31,1
oakMargin,pm,31,0.42
oakMargin,pm,32,0.42
oakMargin,pm,32,0.77
oakMargin,pm,32,1
oakMargin,pm,34,1
oakMargin,pm,34,NA
oakMargin,pm,34,1
control,am,23,0.57
control,am,23,1
control,am,23,0.48
control,am,24,0.72
control,am,24,0.28
control,am,24,0.59
control,am,25,0.12
control,am,25,0.15
control,am,25,0.59
control,am,26,0.42
control,am,26,0.77
control,am,26,0.77
control,am,27,1
control,am,27,1
control,am,27,0.77
control,am,28,0.85
control,am,28,1
control,am,28,0.85
control,am,29,0.34
control,am,29,0.12
control,am,29,0.42
control,am,30,1
control,am,30,0.05
control,am,30,0.03
control,am,31,1
control,am,31,0.78
control,am,31,0.85
control,am,32,0.77
control,am,32,0.77
control,am,32,1
control,am,34,1
control,am,34,1
control,am,34,NA
control,pm,23,0.02
control,pm,23,0.1
control,pm,23,0.61
control,pm,24,0.02
control,pm,24,0.06
control,pm,24,0.63
control,pm,25,0.82
control,pm,25,1
control,pm,25,0.82
control,pm,26,1
control,pm,26,0.37
control,pm,26,0.59
control,pm,27,0.77
control,pm,27,1
control,pm,27,0.77
control,pm,28,0.17
control,pm,28,1
control,pm,28,0.2
control,pm,29,0.77
control,pm,29,0.09
control,pm,29,0.09
control,pm,30,1
control,pm,30,0.82
control,pm,30,0.77
control,pm,31,1
control,pm,31,0.59
control,pm,31,0.37
control,pm,32,0.77
control,pm,32,1
control,pm,32,0.77
